weightedSIF.Node1,weightedSIF.Sign,weightedSIF.Node2,weightedSIF.Weight
KEAP1,-1,GABPA,100
E2F7,-1,SP1,100
MAPK11,1,ATF2,100
SUMO2,1,RCOR1,100
NANOS1,1,HDAC2,100
SUMO2,1,RARA,100
HSBP1,-1,HSF1,100
ATF2,1,ATF3,100
NAB2,-1,EGR1,100
NAB1,-1,EGR1,100
BLVRA,1,JUND,100
BLVRA,1,ATF2,100
RCOR1,1,REST,100
PTPA,-1,AKT3,51
TNFSF13B,1,TNFRSF13C,10
IKBKE,-1,CYLD,100
SMARCAD1,1,HDAC1,50
ZNF76,-1,TBP,100
PDPK2P,1,AKT3,51
PPP2CB,-1,AKT3,29
MTCP1,1,AKT3,51
THEM4,-1,AKT3,51
SP2,1,IRF1,100
CEBPA,1,USF1,100
MAPK11,1,HNF4A,100
SMARCB1,1,SMARCA4,100
MAPK9,-1,JUNB,100
CSNK2A2,-1,SPIB,100
TFAP4,1,HDAC1,50
ZC3H12A,1,GATA2,100
TFAP4,1,SP1,100
MUL1,-1,AKT3,51
AHSA1,1,HSP90AB1,100
AKT2,-1,GATA2,46
AKT2,-1,RARA,46
HOXB8,1,PBX3,100
PCSK7,-1,CEBPA,100
PPP2CB,-1,ELF1,50
AKT3,1,POU5F1,51
CDKN2B,-1,CDK4,100
FAM107A,1,AKT3,51
ZNF521,-1,EBF1,100
FHL5,1,CREM,100
BCOR,1,HDAC1,50
SMARCA4,1,ZEB1,100
MNAT1,1,RARA,100
MAPK11,1,USF1,100
DUSP8,-1,MAPK11,100
CTNND1,-1,ZBTB33,100
NSD2,1,HDAC1,50
E2F1,-1,TBP,100
RBL2,1,E2F4,100
RHOA,1,ROCK2,62
CDK1,1,E2F1,100
GAPDH,1,APEX1,50
GAPDH,1,POU2F1,50
GLRX,-1,GAPDH,50
BCL3,1,NFKB2,100
CDK5RAP3,1,CDK1,100
CREB1,1,CREBBP,100
GZMA,-1,APEX1,100
APEX1,1,FOSL1,100
APEX1,1,STAT3,100
CREBBP,1,HNF1A,100
SUMO1,1,CTCF,100
IKBKE,1,IRF3,100
EP300,1,STAT3,100
TNFRSF13C,-1,TRAF3,10
RXRA,1,NR1H4,100
RXRA,1,NR4A1,100
SMAD7,1,TAB1,44
EP300,1,SMAD7,45
EP300,1,E2F1,100
TRAF3,1,IKBKE,89
CREM,-1,CREB1,100
CREB1,1,TAF1,100
HSP90AB1,-1,KEAP1,100
HDAC1,-1,MAFK,50
AKT3,-1,FOXA2,51
CDK4,-1,MEF2C,100
CDK1,1,RUNX1,100
TAB1,1,MAPK9,55
EP300,1,MEF2C,100
PCSK7,1,ELK4,100
AKT2,1,EP300,46
CTNND1,1,VAV2,39
MAPK9,1,STAT3,100
CYLD,-1,BCL3,100
ROCK2,1,IRF4,100
CIITA,1,RFX5,100
AKT3,-1,NR4A1,51
AKT2,1,CREB1,46
PPP2R5B,-1,AKT2,46
AKT3,-1,TAL1,51
CREBBP,1,STAT2,100
HDAC2,-1,CIITA,100
EP300,1,MEF2A,100
CDK4,-1,MEF2A,100
CREBBP,1,MEF2C,100
CDK4,-1,RUNX3,100
TLX1,-1,PPP2CB,50
VAV2,1,RHOA,1
PTPRJ,1,CTNND1,100
CDK4,-1,RBL2,100
CREBBP,1,STAT3,100
CDK1,1,RXRA,100
EP300,1,NR4A1,100
EP300,1,YY1,100
TAB1,1,NR2C2,55
HSF1,-1,SUMO1,100
EP300,1,MITF,100
NPAS2,1,PER2,50
CAST,-1,CAPN1,33
PRDM16,1,SKI,8
PER2,-1,POU2F1,50
SKI,-1,EP300,8
CAPN1,-1,RHOA,33
DHX58,-1,MAVS,30
NLRX1,-1,MAVS,30
RARRES3,1,MAVS,30
MAVS,-1,TRAF3,30
MAVS,-1,IRF3,30
CNR1,1,GNA13,20
GNA13,1,RHOA,20
PDPK2P,1,AKT2,49
AKT2,1,POU5F1,49
THEM4,-1,AKT2,49
NUDT3,1,AKT2,49
PPP2CA,-1,AKT2,28
TCL1B,1,AKT2,49
MUL1,-1,AKT2,49
PTPA,-1,AKT2,49
AKT3,-1,GATA2,45
AKT3,-1,RARA,45
PPP2CA,-1,ELF1,50
TAB2,1,NR2C2,45
XIAP,1,TAB2,44
ARHGAP1,1,ROCK2,38
VAV2,1,ARHGAP1,38
AKT2,-1,FOXA2,49
TLX1,-1,PPP2CA,34
AKT3,1,EP300,45
TAB2,1,MAPK9,45
AKT2,-1,NR4A1,49
AKT3,1,CREB1,45
PPP2R5B,-1,AKT3,45
AKT2,-1,TAL1,49
AKT3,1,XIAP,37
PCSK7,1,PPP2CA,50
PPP2CA,1,RBL2,50
PPP2CA,-1,AKT3,22
AKT2,1,XIAP,18
XIAP,1,TAB1,11
AKAP8,1,HDAC3,50
BCOR,1,HDAC3,50
HDAC3,-1,MAFK,50
MARCH5,1,DDX58,24
RNF135,1,DDX58,24
TRIM25,1,DDX58,24
DHX58,-1,DDX58,24
RNF125,-1,DDX58,24
DDX58,-1,TRAF3,24
TRIM25,1,IFIH1,25
RNF125,-1,IFIH1,25
DHX58,-1,IFIH1,25
IFIH1,-1,TRAF3,25
PPP2CB,-1,AKT2,21
ITCH,1,TNFAIP3,11
N4BP1,-1,ITCH,11
TNFAIP3,-1,IKBKE,11
ECT2,1,RHOA,3
CDK1,1,ECT2,3
GNA12,1,RHOA,5
CNR1,1,GNA12,5
SMAD7,1,TAB2,1
ITCH,-1,DTX1,1
DTX1,1,EP300,1
