nodesAttributes.Node,nodesAttributes.ZeroAct,nodesAttributes.UpAct,nodesAttributes.DownAct,nodesAttributes.AvgAct,nodesAttributes.NodeType
USF1,0,100,0,100,T
FOXA2,0,100,0,100,T
HNF4A,0,100,0,100,T
SP1,0,100,0,100,T
FOS,100,0,0,0,T
SRF,100,0,0,0,T
CREB1,0,0,100,-100,T
MEF2A,0,0,100,-100,T
TBP,0,100,0,100,T
E2F1,0,100,0,100,T
NR1H4,0,0,100,-100,T
NFKB1,100,0,0,0,T
CEBPA,0,100,0,100,T
POU2F1,0,0,100,-100,T
GATA3,100,0,0,0,T
RFX1,0,100,0,100,T
VDR,100,0,0,0,T
MITF,0,0,100,-100,T
RUNX3,0,100,0,100,T
SPIB,0,0,100,-100,T
BCL3,0,100,0,100,T
CEBPB,100,0,0,0,T
CTCF,0,100,0,100,T
E2F4,0,0,100,-100,T
E2F6,0,0,100,-100,T
EBF1,0,100,0,100,T
POU2F2,0,0,100,-100,T
TBX21,100,0,0,0,T
EGR1,0,0,100,-100,T
ETS1,100,0,0,0,T
ETV4,100,0,0,0,T
CREM,0,100,0,100,T
FOXA1,100,0,0,0,T
GABPA,0,0,100,-100,T
GATA2,0,100,0,100,T
GATA1,100,0,0,0,T
IRF1,0,0,100,-100,T
IRF4,0,100,0,100,T
JUN,100,0,0,0,T
JUND,0,100,0,100,T
MAFK,0,100,0,100,T
MAX,0,100,0,100,T
MEF2C,0,100,0,100,T
MYC,100,0,0,0,T
PAX5,0,100,0,100,T
POU5F1,0,100,0,100,T
RFX5,0,100,0,100,T
SPI1,100,0,0,0,T
STAT1,100,0,0,0,T
STAT3,0,0,100,-100,T
TAL1,0,100,0,100,T
TCF4,100,0,0,0,T
TFAP2A,100,0,0,0,T
YY1,0,0,100,-100,T
ZEB1,0,0,100,-100,T
NR3C1,100,0,0,0,T
ESR1,100,0,0,0,T
RARA,0,0,100,-100,T
ATF3,100,0,0,0,T
ELF1,0,0,100,-100,T
REST,0,100,0,100,T
PBX3,0,0,100,-100,T
ZBTB33,0,0,100,-100,T
RUNX1,0,0,100,-100,T
TAF1,0,0,100,-100,T
RXRA,0,0,100,-100,T
HNF1A,0,0,100,-100,T
NR2F6,100,0,0,0,T
FOSL1,0,0,100,-100,T
SP2,0,0,100,-100,T
TP53,100,0,0,0,T
NFKB2,0,100,0,100,T
